Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
1266,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1275,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,NA
1278,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,NA
1279,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1280,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1281,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1285,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1286,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1288,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1289,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1290,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1291,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1292,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1293,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,NA
1294,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
1295,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA
1302,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1303,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1305,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
1312,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
1313,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1314,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1315,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1316,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1317,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
1445,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1446,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1447,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1448,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
1450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
1451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
1452,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
1453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
1454,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
1456,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
1457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2461,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
2524,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
