case number,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,FL-Lauderdale Lakes
3995,0.362918852,0.352042201,0.438208463,0.403939654,0.403939654,0.716083062,0.330751527,0.438560508,0.48987377,0.646183168,0.537575337,0.583304668,0.400144756,0.579197389,0.336947331,0.359277044,0.548461391,0.744115277,0.419230246,0.465926103,NA
3996,0.283154863,0.267411839,0.340303744,0.309473638,0.309473638,0.507263828,0.243409237,0.344179126,0.40350717,0.589402439,0.426313946,0.379299466,0.302767785,0.544478618,0.225743674,0.276790705,0.380700208,0.648476957,0.323126848,0.358568394,NA
3999,0.522992061,0.536671751,0.494610148,0.550536767,0.55519881,1.360465836,0.465959979,0.612640105,1.064945466,0.860344926,0.840871389,0.623490775,0.559880738,0.692497508,0.401645138,0.532091035,0.658308789,1.076108153,0.588379449,0.632365239,NA
4006,0.429516256,0.455708886,0.423716783,0.462301361,0.462301361,0.790397651,0.416557205,0.508689139,0.712848005,0.622889462,0.654883663,0.61387881,0.45900333,0.568372285,0.372931679,0.452418315,0.59622358,0.809006271,0.485463944,0.525261463,NA
4014,0.339999501,0.366547568,0.403867737,0.373320804,0.373320804,0.580100008,0.327081167,0.421997956,0.572033645,0.592857771,0.46599525,0.453920971,0.369927786,0.584485009,0.291780987,0.363180434,0.434674308,0.725542538,0.397405629,0.439811518,NA
4017,0.396498886,0.422168054,0.390839799,0.428657446,0.428657446,0.809080852,0.383865707,0.474649378,0.684171004,0.585044143,0.661555015,0.581125814,0.425409537,0.516881988,0.341659009,0.418933263,0.563038977,0.785751877,0.451549958,0.4912215,NA
4036,0.127847316,0.142429055,0.143795802,0.146309582,0.146309582,0.479094783,0.121093373,0.176331748,0.347258656,0.124139849,0.428470059,0.187794728,0.144357192,0.16059588,0.073567495,0.14052492,0.168578502,0.467812038,0.160676584,0.188351893,NA
4040,0.109822692,0.141250516,0.190532949,0.13919658,0.13919658,0.28417137,0.118325456,0.165699081,0.096863513,0.142575301,0.668189759,0.191782091,0.145440363,0.104256799,0.158887939,0.14333169,0.199374551,0.43292287,0.154155311,0.188394142,NA
4042,0.350847174,0.37539928,0.390242264,0.381644584,0.381644584,0.707308582,0.338851848,0.426356494,0.444420996,0.367120941,0.737346885,0.47426438,0.378516897,0.298407616,0.299191126,0.372291959,0.471741857,0.761332051,0.403800845,0.44266323,NA
4044,0.777377112,0.914092854,1.186703866,0.905670113,0.905670113,1.762240084,0.816136867,1.009721926,1.027177176,1.225331424,2.296087455,0.959655754,0.931076465,0.814928568,0.837510596,0.922561732,1.278251685,1.803641181,0.965588027,1.091811826,NA
4188,0.138917142,0.153663156,0.202083527,0.157567416,0.157567416,0.386293099,0.132044282,0.187519615,0.190576564,0.123976596,0.776267824,0.158168129,0.155604094,0.084147953,0.104761387,0.151744399,0.201427052,0.471641325,0.171954676,0.199397948,NA
4191,0.253444607,0.275643325,0.312637187,0.28141152,0.28141152,0.637163503,0.242866465,0.324243499,0.278921288,0.294581881,0.827749073,0.184555003,0.278516468,0.142073221,0.294444042,0.272792079,0.297826044,0.719996869,0.302290929,0.340576776,NA
4193,0.429744988,0.455940419,0.471563664,0.462533397,0.462533397,0.787956664,0.416784078,0.508922421,0.655912017,0.612824948,0.764055561,0.516242549,0.459235124,0.592465447,0.373149988,0.452649566,0.554599566,0.808287467,0.485697105,0.525494216,NA
4194,0.034446578,0.037170394,0.040154386,0.037739486,0.036609557,0.104720474,0.028672682,0.045941078,0.093778073,0.035284886,0.07756959,0.045763595,0.038902882,0.033675152,0.014469045,0.036609557,0.031363902,0.103030962,0.041333703,0.046637948,NA
4195,0.204453866,0.21207625,0.273525266,0.219932089,0.222603187,0.647380578,0.174028497,0.256752009,0.35437058,0.348453006,0.790408366,0.2701925,0.225300735,0.332913058,0.151061025,0.209509693,0.289384911,0.613363968,0.24204806,0.269013192,NA
4196,0.268678651,0.294252235,0.387294857,0.300917419,0.300917419,0.605760634,0.256540369,0.350619564,0.284549353,0.323866624,0.751791426,0.234315043,0.297571208,0.206573251,0.283385984,0.290960488,0.309941209,0.741654321,0.325103545,0.369651087,NA
4198,0.04644339,0.051161332,0.052228134,0.05187129,0.051161332,0.130606262,0.041558579,0.058692662,0.154541149,0.060165852,0.192715055,0.055635838,0.05187129,0.078324435,0.030941675,0.049086236,0.056835559,0.209674044,0.053319232,0.061147751,NA
4199,0.495750472,0.517984481,0.494000955,0.522496487,0.513494031,1.200157295,0.444681228,0.583048411,0.888135005,0.610681172,0.78512115,0.713875671,0.531584618,0.440143638,0.371854097,0.513494031,0.641841106,1.02832507,0.550013339,0.587846717,NA
4201,0.35514383,0.343160901,0.442149945,0.380067272,0.393010503,1.275744865,0.312747362,0.438479536,0.583596759,0.422913766,1.056690214,0.563540067,0.380067272,0.359411662,0.239984876,0.343160901,0.533986313,0.914968493,0.406275729,0.448001384,NA
4208,0.300913261,0.310145749,0.356494966,0.319573809,0.322759836,0.825616412,0.263172178,0.362665097,0.480300707,0.499549034,0.949631841,0.2552228,0.32596748,0.295952137,0.338406339,0.307046493,0.424217527,0.768712173,0.345664942,0.376642581,NA
4211,0.224432094,0.247174717,0.317652831,0.253096231,0.253096231,0.35416355,0.21363289,0.297095274,0.204084002,0.299247025,0.505057364,0.286471773,0.250123796,0.314094573,0.187744733,0.244249083,0.262640132,0.588026219,0.274548253,0.313837188,NA
4212,0.154240824,0.160013243,0.168993503,0.165959302,0.167980269,0.343488422,0.131175022,0.193777389,0.409835858,0.182707755,0.450663214,0.289805897,0.170020829,0.277385279,0.108182133,0.158069917,0.237861348,0.512865599,0.182679244,0.203019212,NA
4213,0.155193026,0.171050747,0.226569365,0.175210701,0.175210701,0.256134021,0.147724798,0.206571146,0.176245951,0.196035993,0.466022131,0.189821555,0.173120845,0.195111487,0.128096824,0.169000343,0.187648553,0.493600162,0.190397585,0.218732327,NA
4215,0.241697258,0.263635665,0.295363465,0.269315746,0.269315746,0.376588422,0.231205518,0.311165257,0.326097483,0.313893825,0.406290363,0.377413366,0.266466069,0.276055832,0.203129217,0.260824636,0.322369163,0.632578115,0.289793514,0.326946703,NA
4216,0.342436361,0.357533914,0.328277122,0.360588817,0.354490543,0.62890329,0.307518072,0.401254083,0.491216093,0.421442894,0.555852804,0.458416134,0.366732397,0.286275757,0.275291858,0.354490543,0.442599411,0.750195749,0.379148695,0.404447382,NA
4222,0.255854818,0.280395658,0.377671305,0.286796213,0.286796213,0.560099406,0.244216581,0.334581849,0.304200758,0.328994714,0.77030418,0.213726211,0.283582626,0.214964795,0.293713388,0.277235287,0.306217213,0.710532558,0.310037399,0.352905058,NA
4242,0.41419468,0.398922591,0.614037241,0.474156443,0.474156443,0.939660806,0.369734839,0.527941535,0.54663765,0.77940405,1.061035665,0.51775439,0.468444646,0.455755616,0.418358233,0.409053195,0.670507844,1.083984763,0.497531,0.572750628,NA
4243,0.404761321,0.395204258,0.405445718,0.440373415,0.440373415,0.765471996,0.376334843,0.469991787,0.662548713,0.690153976,0.602359429,0.477296201,0.43710465,0.554358328,0.370848279,0.401567215,0.535531703,0.802760101,0.453497484,0.493186267,NA
4293,0.462659907,0.479064171,0.531554672,0.508496607,0.53005884,1.216253165,0.454574679,0.560954485,0.730638687,0.640930956,1.075985904,0.636800539,0.512774013,0.472087838,0.477659736,0.499995551,0.717279978,1.0376002,0.508496607,0.583497633,NA
4295,0.24224022,0.286692149,0.283450541,0.283749025,0.280827987,0.663192419,0.25552947,0.304815043,0.436111005,0.453684605,0.715933964,0.303465436,0.292644691,0.232511406,0.335838447,0.283749025,0.417680476,0.743956556,0.289657369,0.336784725,NA
4296,0.22545186,0.271688842,0.307537918,0.26860233,0.265542295,0.614978125,0.239185374,0.290765653,0.389189499,0.444988376,0.628900995,0.330239819,0.277941434,0.284871423,0.291726882,0.26860233,0.392555737,0.721044979,0.274801865,0.324690135,NA
4300,0.202653525,0.21614114,0.284768177,0.218929041,0.213383647,0.763265788,0.173223886,0.258031741,0.353932774,0.272065198,0.859506686,0.42932927,0.224596902,0.27589133,0.141982295,0.213383647,0.350014543,0.599094566,0.236306619,0.261266515,NA
4332,0.353096454,0.413150761,0.458025243,0.409463218,0.409463218,0.853864862,0.370167378,0.454920257,0.529631714,0.596161084,0.87512961,0.360546786,0.420581845,0.403938561,0.440105746,0.416857011,0.497992707,0.880056139,0.435664495,0.490653369,NA
4334,0.361327131,0.376780323,0.391643674,0.379902433,0.37366841,0.723860296,0.325435893,0.421310636,0.578980377,0.541780181,0.745022094,0.438248697,0.386176335,0.498632299,0.292124094,0.37366841,0.483145299,0.752966636,0.398836333,0.424550373,NA
4336,0.406127647,0.415767273,0.437627444,0.425471777,0.428719806,0.759812546,0.365269783,0.468097486,0.62438463,0.613643329,0.76500537,0.475398866,0.431973988,0.549194166,0.344708549,0.41254651,0.53711067,0.791686452,0.451613017,0.481337142,NA
4337,0.45519113,0.465083302,0.487373352,0.475003018,0.478314369,0.834523807,0.412828523,0.518115966,0.670065243,0.616442121,0.820141172,0.622784001,0.481627627,0.55681959,0.391240319,0.461782469,0.645825196,0.823444849,0.501530918,0.531357073,NA
4338,0.387888138,0.403759152,0.418971297,0.406958837,0.400567633,0.745710431,0.350807732,0.449179892,0.606351087,0.572088862,0.752975539,0.466335488,0.413381692,0.526958776,0.316115906,0.400567633,0.511489537,0.774038216,0.426314137,0.452466372,NA
4339,0.410737075,0.420408657,0.442328101,0.430141735,0.433398521,0.766380664,0.369704169,0.472850243,0.628848167,0.570481395,0.803324705,0.579368178,0.436661071,0.529583607,0.349030581,0.417177613,0.60337239,0.794997123,0.456341997,0.486101475,NA
4340,0.413575886,0.403951938,0.445220285,0.433016107,0.442818064,0.767615477,0.378664538,0.475771735,0.619139635,0.625515685,0.76440576,0.479770098,0.433016107,0.556806166,0.348676799,0.403951938,0.544757575,0.792752676,0.452664758,0.482397214,NA
