Case Num,CA-LOS ANGELES,CA-LOS GATOS,CA-SAN DIEGO,CA-WALNUT CREEK,DE-WILMINGTON,FL-CLEARWATER,IL-CHICAGO,MA-FRAMINGHAM,MA-SPRINGFIELD,MI-ANN ARBOR,NC-CHARLOTTE,NY-BUFFALO,NY-NEW YORK CITY,OH-COLUMBUS,OH-CLEVELAND HEIGHTS,OH-TOLEDO,PA-PHILADELPHIA,PA-PITTSBURGH,WA-KENT,WI-MADISON,NY-Westchester
3553,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3554,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3555,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3556,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3557,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3561,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3562,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3564,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3565,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3567,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3568,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3569,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3570,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3574,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3575,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3576,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3577,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3579,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3581,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3585,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3587,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3588,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3592,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3595,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3601,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
3622,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
3623,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3676,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3731,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3780,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3796,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3797,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3802,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3811,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
3935,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
3937,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3939,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
3946,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,NA
3950,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3951,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
3966,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3970,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3974,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3975,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
3976,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,NA
3984,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4001,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4007,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4008,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4012,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,NA
4016,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
4018,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,NA
4019,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,NA
4024,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,NA
4027,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,NA
4032,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,NA
4066,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,NA
4223,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
4224,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
4226,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
4227,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4228,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4229,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4230,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,NA
4232,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
4234,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4235,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
4236,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
4289,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4297,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4298,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4299,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4302,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,NA
4303,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
4304,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,NA
4306,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,NA
4307,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,NA
4313,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,NA
4314,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4344,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA
4348,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
4353,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
4354,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
4355,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
4916,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,NA
4918,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
4919,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4921,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4924,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
4934,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,NA
4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA
6572,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,NA
6621,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA
6622,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA
6628,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
6629,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA
6630,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
6634,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA
6635,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA
6636,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA
6906,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
6907,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6908,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6909,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,NA
6911,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,NA
6919,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6920,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,NA
6921,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,NA
6923,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,NA
6924,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6929,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,NA
6930,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,NA
6931,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,NA
6932,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6933,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,NA
6935,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,NA
6939,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6940,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
6941,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,NA
7002,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,NA
7004,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
7005,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA
7015,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,NA
7191,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,NA
7371,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,NA
7382,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,NA
7447,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,NA
7465,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,NA
7476,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,NA
7492,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA
